angDist,sobject_id,ra,dec,_RAJ2000,_DEJ2000,Sample,Name,logg,e_logg,Teff,l_Porb,Porb,N,[Fe/H],[C/Fe],[s/Fe],[Eu/Fe],all,SimbadName,_RA,_DE
0.024736,150412002601089,171.704958333,3.86433333333,171.70496,3.86434,ur,BD+04 2466,1.8,0.2,5032,,4592.7,20,-2.1,1.3,1.6,,all,BD+04 2466,171.70496,3.86434
0.169995,170614005101293,326.202916667,-63.3693611111,326.203,-63.36939,ur,CS22956-028,3.9,0.1,6900,,1290.0,11,-2.1,1.9,0.4,,all,BPS CS 22956-028,326.203,-63.36939
